genus,FFG_fi,FFG_ga,FFG_sh,FFG_sc,FFG_pr,HTG_bu,HTG_cm,HTG_cn,HTG_sp,HTG_sw
Erotesis,0,1,0,0,0,0,1,0,0,1
Erpetogomphus,0,0,0,0,1,1,0,0,0,0
Erythemis,0,0,0,0,1,0,1,0,0,0
Erythrodiplax,0,0,0,0,1,0,1,0,0,0
Erythromma,0,0,0,0,1,0,1,1,0,0
Esme,0,0,0,0,0,0,0,0,0,0
Ethochorema,0,0,0,0,0,0,0,0,0,0
Eucapnopsis,0,0,1,0,0,0,0,0,1,0
Euleuctra,0,0,1,0,0,0,0,0,1,0
Eunotoperla,0,0,0,0,0,0,0,0,0,0
Euphaea,0,0,0,0,0,0,0,0,0,0
Eurilophella,0,1,0,0,0,0,0,1,0,0
Eurylophella,0,0,0,1,0,0,0,1,1,0
Eurysticta,0,0,0,0,0,0,0,0,0,0
Eusthenia,0,0,0,0,0,0,0,0,0,0
Eusynthemis,0,0,0,0,0,0,0,0,0,0
Euthore,0,0,0,0,0,0,0,0,0,0
Euthraulus,0,1,0,0,0,0,0,1,0,0
Euthyplocia,0,0,0,0,0,0,0,0,0,0
Fabria,0,0,1,0,1,0,1,0,0,0
Fallceon,0,1,0,0,0,0,0,0,0,1
Farrodes,0,1,0,0,0,0,0,1,0,0
Farula,0,0,0,1,0,0,0,1,0,0
Fittkaulus,0,1,0,0,0,0,0,1,0,0
Fittkauneuria,1,0,0,0,0,1,0,0,0,0
Flintiella,0,0,0,0,0,0,0,0,0,0
Forcepsioneura,0,0,0,0,1,0,1,0,0,0
Frenesia,0,0,1,0,0,0,0,0,1,0
Fukienogomphus,0,0,0,0,1,1,0,0,0,0
Fulletomimus,0,1,0,0,0,0,1,0,0,0
Fylgia,0,0,0,0,1,0,0,0,1,0
Ganonema,0,0,1,0,0,0,0,0,1,0
Garinjuga,0,0,0,0,1,0,0,0,1,0
Glossosoma,0,0,0,1,0,0,0,1,0,0
Glyphopsyche,0,0,1,0,0,0,0,1,0,0
Glyphotaelius,0,0,1,0,0,0,0,0,1,0
Goera,0,0,0,1,0,0,0,1,0,1
Goeracea,0,0,0,1,0,0,0,1,0,0
Goerodes,0,0,1,0,0,0,0,1,0,0
Gomphaeschna,0,0,0,0,1,0,0,1,0,0
Gomphidia,0,0,0,0,1,1,0,0,0,0
Gomphidictinus,0,0,0,0,1,1,0,0,0,0
Gomphoides,0,0,0,0,1,1,0,0,0,0
Gomphomacromia,0,0,0,0,0,0,0,0,0,0
Gomphurus,0,0,0,0,1,1,0,0,0,0
Gomphus,0,0,0,0,1,1,0,0,0,0
Gonserellus,0,1,1,0,0,0,0,1,1,0
Grammotaulius,0,0,1,0,0,0,0,0,1,0
Grensia,0,0,1,0,0,0,0,0,0,0
Gripopteryx,0,0,0,0,0,0,0,0,0,0
Griseargiolestes,0,0,0,0,0,0,0,0,0,0
Grumicha,0,0,1,0,0,0,0,0,1,0
Grumichella,0,1,0,0,0,0,1,0,0,1
Guajirolus,0,1,0,0,0,0,1,0,0,1
Guaranyperla,0,0,0,0,0,0,0,0,0,0
Gumaga,0,1,1,1,0,0,0,0,1,0
Gynacantha,0,0,0,0,1,0,1,0,1,0
Gynothemis,0,0,0,0,1,0,0,0,1,0
Gyrocarisa,0,0,0,0,0,0,0,0,0,0
Habroleptoides,0,1,0,0,0,0,1,1,0,0
Habrophlebia,0,1,0,0,0,0,0,1,0,1
Habrophlebiodes,0,0,0,1,0,0,0,1,0,1
Hadimina,0,0,0,0,0,0,0,0,0,0
Hadrothemis,0,0,0,0,1,0,0,0,1,0
Hagenella,0,0,1,0,1,0,1,0,0,0
Hagenius,0,0,0,0,1,0,0,0,1,0
Hagenulopsis,0,1,0,0,0,0,1,1,0,0
Hagenulus,0,1,0,0,0,0,1,1,0,0
Halesochila,0,0,1,1,0,0,1,0,1,0
Halesus,0,1,0,0,0,0,1,1,0,0
Halticoperla,0,0,0,0,0,0,0,0,0,0
Hampa,0,0,0,0,0,0,0,0,0,0
Hansonoperla,0,0,0,0,1,0,0,1,0,0
Haplohyphes,0,1,0,0,0,0,0,0,0,0
Haploperla,0,0,0,0,1,0,0,1,0,0
Hapsiphlebia,0,1,0,0,0,0,1,1,0,0
Harpagobaetis,0,1,0,0,0,0,1,0,0,1
Heliaeschna,0,0,0,0,1,0,0,1,0,0
Helicopsyche,0,0,0,1,0,0,0,1,0,0
Heliocharis,0,0,0,0,0,0,0,0,0,0
Heliocypha,0,0,0,0,1,0,0,1,0,0
Heliogomphus,1,0,0,0,0,0,0,1,0,0
Hellyethira,0,0,0,1,0,0,1,0,0,0
Helocordulia,0,0,0,0,1,0,1,0,1,0
Hemianax,0,0,0,0,1,0,0,0,0,0
Hemicordulia,0,0,0,0,1,0,1,0,1,0
Hemigomphus,0,0,0,0,1,1,0,0,0,0
Hemimelaena,0,0,0,0,1,0,0,1,1,0
Hemiphlebia,0,0,0,0,0,0,0,0,0,0
Hemistigma,0,0,0,0,1,0,0,0,1,0
Heptagenia,0,0,0,1,0,0,0,1,0,1
Hermanella,0,1,0,1,0,0,0,0,0,0
Hermanellopsis,0,1,0,0,0,0,0,1,0,0
Hesperagrion,0,0,0,0,1,0,1,0,0,0
Hesperocordulia,0,0,0,0,0,0,0,0,0,0
Hesperoperla,0,0,0,0,1,0,0,1,0,0
Hesperophylax,0,0,1,0,0,0,1,0,1,0
Hetaerina,0,0,0,0,1,0,1,0,0,0
Heteragrion,0,0,0,0,1,0,0,0,0,0
Heterocloeon,0,1,0,1,0,0,0,1,0,1
Heteroplectron,0,0,1,0,0,0,0,0,1,0
Heteropodagrion,0,0,0,0,0,0,0,0,0,0
Hexagenia,0,1,0,0,0,1,0,0,0,0
Himalagrion,0,0,0,0,1,0,0,1,0,0
Himalopsyche,0,0,0,0,1,0,0,1,0,0
Holocentropus,1,0,0,0,0,0,0,1,0,0
Homeoura,0,0,0,0,1,0,1,0,0,0
Homoeoneuria,1,0,0,0,0,1,0,0,0,0
Homophylax,0,0,1,0,0,0,0,0,1,0
Homoplectra,1,0,0,0,0,0,0,1,0,0
Homothraulus,0,1,0,0,0,0,0,1,0,1
Hubbardipes,0,0,0,0,0,0,0,0,0,0
Hudsonema,0,1,0,0,0,0,1,0,0,1
Huonia,0,0,0,0,0,0,0,0,0,0
Hyalophlebia,0,1,0,0,0,0,0,1,0,1
Hydatophylax,0,0,1,0,0,0,0,0,1,0
Hydrobasileus,0,0,0,0,1,0,0,0,1,0
Hydrobiosella,1,0,0,0,0,0,0,1,0,0
Hydrobiosis,0,0,0,0,1,0,0,1,0,0
Hydrochorema,0,0,0,0,1,0,0,1,0,0
Hydromastodon,0,1,1,0,0,0,0,1,1,0
Hydropsyche,1,0,0,0,0,0,0,1,0,0
Hydroptila,0,0,0,1,1,0,0,1,0,0
Hydrosalpinx,0,0,0,0,0,0,0,0,0,0
Hydrosmilodon,0,1,0,1,0,0,0,1,0,1
Hylaeothemis,0,0,0,0,1,0,0,0,1,0
Hylister,0,0,0,0,0,0,0,0,0,0
Hylogomphus,0,0,0,0,1,1,0,0,0,0
Hyperrhyacophila,0,0,0,0,1,0,0,0,1,0
Hypolestes,0,0,0,0,0,0,0,0,0,0
Hypopetalia,0,0,0,0,0,0,0,0,0,0
Hyporhyacophila,0,0,0,0,0,0,0,0,0,0
Ichthybotus,0,0,0,0,0,0,0,0,0,0
Ictinogomphus,0,0,0,0,1,1,0,0,0,0
Idiataphe,0,0,0,0,1,0,0,0,1,0
Idiocnemis,0,0,0,0,0,0,0,0,0,0
Idioneura,0,0,0,0,1,0,1,0,0,0
Idionyx,0,0,0,0,0,0,0,0,0,0
Idomacromia,0,0,0,0,1,0,0,0,0,0
Illiesoperla,0,0,0,0,0,0,0,0,0,0
Indaeschna,0,0,0,0,1,0,0,1,0,1
Indocnemis,0,0,0,0,0,0,0,0,0,0
Indolestes,0,0,0,0,1,0,1,0,0,0
Indonemoura,0,0,0,0,0,0,0,0,0,0
Indonemura,0,0,0,0,0,0,0,0,0,0
Indophaea,0,0,0,0,0,0,0,0,0,0
Indosticta,0,0,0,0,1,0,0,0,0,0
Indothemis,0,0,0,0,1,0,0,0,1,0
Inpabasis,0,0,0,0,1,0,1,0,0,0
Iridictyon,0,0,0,0,1,0,1,1,0,0
Iron,0,0,0,0,0,0,0,0,0,0
Ironodes,0,0,0,1,0,0,0,1,0,0
Ironoquia,0,0,1,0,0,0,0,1,0,0
Irpacaenis,0,1,0,1,0,0,0,0,1,0
Isca,0,1,0,0,0,0,0,1,0,1
Ischnura,0,0,0,0,1,0,1,0,0,0
Isocapnia,0,0,1,0,0,0,0,0,1,0
Isogamus,0,0,1,1,0,0,1,0,1,0
Isogenoides,0,0,0,0,1,0,0,1,0,0
Isogenus,0,0,0,0,1,0,0,1,1,0
Isomecocnemis,0,0,0,0,0,0,0,0,0,0
Isomma,0,0,0,0,1,1,0,0,0,0
Isonychia,1,0,0,0,0,0,0,1,0,1
Isoperla,0,0,0,0,1,0,0,1,0,0
Isoptena,0,0,0,0,1,0,0,1,0,0
Isothraulus,0,1,1,0,0,0,0,1,1,0
Iswaeon,0,0,0,0,0,0,0,0,0,0
Itauara,0,0,0,1,0,0,0,1,0,0
Ithytrichia,0,0,0,1,0,0,0,1,0,0
Jappa,0,1,0,0,0,0,0,1,0,1
Kageronia,0,1,0,0,1,0,0,1,0,0
Kamimuria,0,0,0,0,1,0,0,1,0,0
Kathroperla,0,0,0,0,1,0,0,1,0,0
Kelgena,0,0,1,1,0,0,1,0,1,0
Kempnyella,0,0,0,0,1,0,0,1,0,0
Kempnyia,0,0,0,0,1,0,0,1,0,1
Kiotina,0,0,0,0,1,0,0,1,0,0
Kirrara,0,1,0,0,0,0,0,1,0,1
Klapopteryx,0,0,0,0,0,0,0,0,0,0
Koetonga,0,0,0,0,1,0,0,1,0,0
Kogotus,0,0,0,0,1,0,0,1,0,0
Koorrnonga,0,0,0,0,0,0,0,0,0,0
Kosrheithrus,0,0,0,0,0,0,0,0,0,0
Labidiosticta,0,0,0,0,0,0,0,0,0,0
Labiobaetis,0,1,0,0,0,0,0,0,0,1
Labrogomphus,0,0,0,0,1,1,0,0,0,0
Lachlania,1,0,0,0,0,0,0,1,0,0
Ladona,0,0,0,0,1,0,0,0,1,0
Lamelligomphus,0,0,0,0,1,1,0,0,0,0
Lanthus,0,0,0,0,1,1,0,0,0,0
Larcasia,0,0,0,1,0,0,0,1,0,0
Lasiocephala,0,0,1,0,0,0,1,0,0,0
Lathrecista,0,0,0,0,1,0,0,0,1,0
Lathrocordulia,0,0,0,0,0,0,0,0,0,0
Latineosus,0,0,0,0,0,0,0,0,0,0
Lauromacromia,0,0,0,0,1,0,0,0,0,0
Lectrides,0,1,0,0,0,0,1,0,0,1
Leentvaaria,0,1,1,0,0,0,0,1,1,0
Lenarchus,0,0,1,0,0,0,0,1,1,0
Lepidostoma,0,1,0,0,0,0,1,0,0,0
Leptagrion,0,0,0,0,1,0,1,0,0,0
Leptobasis,0,0,0,0,1,0,1,0,0,0
Leptocerina,0,1,0,0,0,0,1,0,0,1
Leptocerus,0,1,0,0,0,0,1,0,0,1
Leptocnemis,0,0,0,0,1,0,1,0,0,0
Leptodrusus,0,1,1,0,0,0,1,0,1,0
Leptogomphus,0,0,0,0,1,1,0,0,0,0
Leptohyphes,0,1,0,0,0,0,0,1,0,0
Leptohyphodes,0,1,0,1,0,1,0,0,0,0
Leptonema,1,0,0,0,0,0,0,0,0,0
Leptoperla,0,0,0,0,0,0,0,0,0,0
Leptophlebia,0,1,0,0,0,0,0,1,0,1
Leptotaulius,0,0,0,0,0,0,0,0,0,0
Lestagella,0,0,0,0,0,0,0,0,0,0
Lestes,0,0,0,0,1,0,1,0,0,0
Lestinogomphus,0,0,0,0,1,0,0,0,1,0
Lestoidea,0,0,0,0,0,0,0,0,0,0
Leucorrhinia,0,0,0,0,1,0,0,0,1,0
Leucotrichia,0,0,0,1,0,0,0,1,0,0
Leucrocuta,0,1,0,1,0,0,0,1,0,0
Leuctra,0,0,1,0,0,0,0,1,1,0
Levanidovia,0,0,0,0,1,0,0,1,1,0
Libellago,0,0,0,0,0,0,0,0,0,0
Libellula,0,0,0,0,1,0,0,0,1,0
Libyogomphus,0,0,0,0,1,0,0,0,0,0
Liebebiella,0,1,0,0,0,0,0,0,0,1
Limnephilus,0,0,1,0,0,0,0,0,1,0
Limnetron,0,0,0,0,1,0,1,0,0,0
Limnocentropus,0,0,0,0,1,0,0,0,0,0
Limnoperla,0,0,0,0,0,0,0,0,0,0
Lindenia,0,0,0,0,1,1,0,0,0,0
Lingora,0,0,0,0,0,0,0,0,0,0
Lisetta,0,1,1,0,0,0,0,1,1,0
Lithax,0,0,0,1,0,0,0,1,0,0
Litobrancha,1,1,0,0,0,1,0,0,0,0
Lokia,0,0,0,0,0,0,0,0,0,0
Lumahyphes,0,1,0,1,0,0,0,1,1,0
Lype,0,0,0,1,0,1,0,0,0,0
Lyriothemis,0,0,0,0,1,0,0,0,1,0
Maccaffertium,0,0,0,0,1,0,0,0,1,1
Macrodiplax,0,0,0,0,1,0,0,0,1,0
Macrogomphus,0,0,0,0,1,1,0,0,0,0
Macrogynoplax,0,0,0,0,1,0,0,1,0,0
Macromia,0,0,0,0,1,0,0,0,1,0
Macromidia,0,0,0,0,0,0,0,0,0,0
Macronema,1,0,0,0,0,0,0,0,0,0
Macrostemum,1,0,0,0,0,0,0,1,0,0
Macrothemis,0,0,0,0,1,0,0,0,1,0
Macunahyphes,0,0,0,0,0,0,0,0,0,0
Magadacerina,0,1,0,0,0,0,1,0,0,1
Magallanella,0,1,1,0,0,0,0,1,1,0
Malenka,0,1,1,0,0,0,0,1,0,1
Malgassophlebia,0,0,0,0,1,0,0,0,1,0
Malirekus,0,0,1,0,1,0,0,1,0,1
Manophylax,0,0,0,1,0,0,0,1,0,0
Marilia,0,0,0,1,1,0,0,0,1,0
Marthamea,0,0,0,0,1,0,0,1,0,0
Massartella,0,1,0,0,0,0,0,1,0,1
Massartellopsis,0,1,0,0,0,0,0,1,0,1
Mastigoptila,0,0,0,1,0,0,0,1,0,0
Matasia,0,0,0,0,0,0,0,0,0,0
Matrona,0,0,0,0,1,0,1,0,0,0
Mauiulus,0,1,0,0,0,0,0,1,0,1
Mayatrichia,0,0,0,1,0,0,0,1,0,0
Maydenoptila,0,0,0,0,0,0,0,0,0,0
Mayobaetis,0,1,0,0,0,0,0,0,0,1
Mecistogaster,0,0,0,0,1,0,1,0,0,0
Megalagrion,0,0,0,0,1,0,1,0,0,0
Megaleptoperla,0,0,0,0,0,0,0,0,0,0
Megalestes,0,0,0,0,0,0,0,0,0,0
Megalogomphus,0,0,0,0,1,1,0,0,0,0
Megaloprepus,0,0,0,0,1,0,1,0,0,0
Megapodagrion,0,0,0,0,0,0,0,0,0,0
Megarcys,0,0,0,0,1,0,0,1,0,0
Megogata,0,0,0,0,1,0,0,1,0,0
Melampophylax,1,1,0,0,0,0,0,1,0,1
Melanemerella,0,0,0,0,0,0,0,0,0,0
Melanotrichia,0,0,0,0,0,0,0,0,0,0
Melligomphus,0,0,0,0,0,0,0,0,0,0
Meridialaris,0,1,0,0,0,0,0,1,0,1
Merogomphus,0,0,0,0,1,1,0,0,0,0
Mesamphiagrion,0,0,0,0,1,0,1,0,0,0
Mesocapnia,0,0,1,0,0,0,0,0,1,0
Mesocnemis,0,0,0,0,0,0,0,0,0,0
Mesoleptobasis,0,0,0,0,1,0,1,0,0,0
Mesophylax,0,0,0,0,0,0,0,0,0,0
Mesoplocia,1,0,0,0,0,0,0,0,0,0
Mesopodagrion,0,0,0,0,0,0,0,0,0,0
Metachorema,0,0,0,0,1,0,0,0,0,0
Metacnemis,0,0,0,0,1,0,0,0,0,0
Metaleptobasis,0,0,0,0,1,0,1,0,0,0
Metalype,1,0,0,1,0,0,0,1,0,0
Metamonius,0,0,0,0,0,0,0,0,0,0
Metanoea,1,1,0,0,0,0,0,0,0,1
Metreletus,0,1,0,0,0,0,0,0,0,1
Metreplecton,0,1,0,0,0,0,0,0,0,1
Metretopus,0,0,0,0,1,0,0,1,0,1
Metrichia,0,1,0,1,0,0,1,0,0,0
Miathyria,0,0,0,0,1,0,0,0,1,0
Micrasema,0,0,1,0,0,0,0,1,0,0
Micrathyria,0,0,0,0,1,0,0,0,1,0
Microgomphus,0,0,0,0,1,1,0,0,0,0
Micromacromia,0,0,0,0,1,0,0,0,1,0
Micromidia,0,0,0,0,0,0,0,0,0,0
Microneura,0,0,0,0,1,0,1,0,0,0
Microperla,0,0,0,0,1,0,0,1,1,0
Microphlebia,0,1,0,1,0,0,0,0,0,0
Micropterna,0,1,0,0,0,0,0,1,0,1
Microptila,1,0,0,1,0,0,1,1,0,0
Microstigma,0,0,0,0,0,0,0,0,0,0
Minagrion,0,0,0,0,1,0,1,0,0,0
Miniargiolestes,0,0,0,0,0,0,0,0,0,0
Miocora,0,0,0,0,1,0,0,0,0,0
Mirawara,0,0,0,0,0,0,0,0,0,0
Miroculis,0,1,0,0,0,0,0,1,0,1
Miroculitus,0,1,1,0,0,0,0,1,1,0
Misagria,0,0,0,0,1,0,0,0,1,0
Mnais,0,0,0,0,1,0,1,0,0,0
Mnesarete,0,0,0,0,1,0,1,0,0,0
Molanna,0,0,0,1,0,0,0,0,1,0
Molannodes,0,0,0,0,0,0,0,0,0,0
Monocentra,0,0,1,0,0,0,0,0,1,0
Mortonagrion,0,0,0,0,1,0,1,0,0,0
Mortoniella,0,0,0,1,0,0,0,1,0,0
Moselia,0,0,1,0,0,0,0,1,0,1
Murphyella,0,0,0,0,0,0,0,0,0,0
Mystacides,0,1,0,0,0,0,1,0,0,1
Namamyia,0,1,0,0,0,1,0,0,1,0
Nannodiplax,0,0,0,0,1,0,0,0,1,0
Nannophlebia,0,0,0,0,1,0,0,0,1,0
Nannophya,0,0,0,0,1,0,0,0,1,0
Nannophyopsis,0,0,0,0,1,0,1,0,1,0
Nannothemis,0,0,0,0,1,0,0,0,1,0
Nanomis,0,1,0,0,0,0,0,0,0,1
Nasiaeschna,0,0,0,0,1,1,0,0,0,0
Navicordulia,0,0,0,0,1,0,1,0,1,0
Neaviperla,0,0,0,0,1,0,0,1,0,0
Neboissoperla,0,0,0,0,0,0,0,0,0,0
Neboissophlebia,0,1,0,0,0,0,0,1,0,1
Nectopsyche,0,0,0,1,0,0,1,0,0,0
Needhamella,0,1,0,1,0,0,0,1,0,1
Nehalennia,0,0,0,0,1,0,1,0,0,0
Nemotaulius,0,0,1,1,0,0,0,1,1,0
Nemoura,0,0,1,0,0,0,1,0,1,0
Nemurella,0,0,1,0,0,0,0,0,1,0
Neoatriplectides,0,0,0,0,0,0,0,0,0,0
Neochoroterpes,0,1,0,0,1,0,0,1,1,0
Neocordulia,0,0,0,0,1,0,0,0,0,0
Neodythemis,0,0,0,0,1,0,0,0,1,0
Neoephemera,0,1,0,0,0,0,0,1,1,0
Neoerythromma,0,0,0,0,1,0,1,0,0,0
Neofulla,0,0,0,0,0,0,0,0,0,0
Neogomphus,0,0,0,0,1,1,0,0,0,0
Neoleptophlebia,0,0,0,0,0,0,0,0,0,0
Neonemura,0,0,0,0,0,0,0,0,0,0
Neoneura,0,0,0,0,1,0,1,0,0,0
Neopentura,0,0,0,0,0,0,0,0,0,0
Neoperla,0,0,0,0,1,0,0,1,0,0
Neopetalia,0,0,0,0,0,0,0,0,0,0
Neophya,0,0,0,0,1,0,0,0,0,0
Neophylax,0,1,0,1,0,0,0,1,0,0
Neoseverinia,0,0,1,0,0,0,1,0,1,0
Neosticta,0,0,0,0,0,0,0,0,0,0
Neothremma,0,0,0,1,0,0,1,0,0,0
Neotrichia,0,0,0,1,0,0,0,1,0,0
Neozephlebia,0,1,0,0,0,0,0,1,0,1
Nephepeltia,0,0,0,0,1,0,0,0,1,0
Nepogomphoides,0,0,0,0,1,1,1,0,0,0
Nepogomphus,0,0,0,0,1,1,0,0,0,0
Nerophilus,0,0,1,0,0,0,0,0,1,0
Nesameletus,0,0,0,0,0,0,0,0,0,0
Nesciothemis,0,0,0,0,1,0,0,0,1,0
Nesocordulia,0,0,0,0,0,0,0,0,0,0
Nesogonia,0,0,0,0,1,0,0,0,1,0
Nesoperla,0,0,0,0,0,0,0,0,0,0
Nesoxenia,0,0,0,0,1,0,1,0,1,0
Neuraeschna,1,0,0,0,0,0,0,1,0,0
Neureclipsis,1,0,0,0,0,0,0,1,0,0
Neurobasis,0,0,0,0,1,0,0,1,0,0
Neurochorema,0,0,0,0,1,0,0,1,0,0
Neurocordulia,0,0,0,0,1,0,1,0,0,0
Neurogomphus,0,0,0,0,1,1,0,0,0,0
Neurolestes,0,0,0,0,1,0,0,0,0,0
Neuroperla,0,0,0,0,0,0,0,0,0,0
Neuroperlopsis,0,0,0,0,0,0,0,0,0,0
Neurothemis,0,0,0,0,1,0,0,0,1,0
Newmanoperla,0,0,0,0,0,0,0,0,0,0
Nigrobaetis,0,1,0,0,0,0,0,0,0,1
Nihonogomphus,0,0,0,0,1,1,0,0,0,0
Niponiella,0,0,0,0,1,0,1,1,0,0
Nixe,0,1,0,1,0,0,1,0,0,0
Nodita,0,0,0,0,0,0,0,0,0,0
Noguchiphaea,0,0,0,0,1,0,1,1,0,0
Nososticta,0,0,0,0,0,0,0,0,0,0
Notacanthella,0,1,0,0,0,0,0,1,0,0
Notacanthurus,0,1,0,1,0,0,0,1,0,1
Notalina,0,1,0,0,0,0,1,0,0,1
Notidobia,0,0,1,0,0,0,0,0,1,0
Notidobiella,0,0,1,0,0,0,0,0,1,0
Notiothemis,0,0,0,0,1,0,0,0,1,0
Notoaeschna,0,0,0,0,1,0,1,0,0,0
Notogomphus,0,0,0,0,1,1,0,0,0,0
Notolibellula,0,0,0,0,1,1,0,0,0,0
Notonemoura,0,0,0,0,0,0,0,0,0,0
Notoperla,0,0,0,0,0,0,0,0,0,0
Notoperlopsis,0,0,0,0,0,0,0,0,0,0
Nousia,1,1,0,0,0,0,0,1,0,1
Nyctiophilax,1,0,0,0,0,0,0,1,0,0
Nyctiophylax,1,0,0,0,0,0,0,1,0,0
Nyungara,0,1,0,0,0,1,0,0,0,0
Ochrotrichia,0,1,0,0,0,0,0,1,0,0
Octogomphus,0,0,0,0,1,1,0,0,0,0
Odontocerum,0,0,0,0,1,0,0,0,1,0
Oecetis,0,0,0,0,1,0,0,1,0,0
Oecismus,0,0,0,0,1,0,0,1,0,0
Oeconesus,0,0,0,0,0,0,0,0,0,0
Offadens,0,1,0,0,0,0,0,0,0,1
Oligoaeschna,0,0,0,0,1,0,1,0,0,0
Oligoclada,0,0,0,0,1,0,0,0,1,0
Oligoneuria,1,0,0,0,0,1,0,0,0,0
Oligoneuriella,1,0,0,0,0,1,0,0,0,0
Oligophlebodes,0,1,0,1,0,0,0,1,0,0
Oligoplectrum,0,1,0,0,0,1,0,0,0,0
Oligostomis,0,0,1,0,1,0,1,0,0,0
Oligotricha,0,0,1,0,0,0,1,0,0,0
Olinga,0,0,0,0,0,0,0,0,0,0
Olpogastra,0,0,0,0,1,0,0,0,1,0
Oniscigaster,0,0,0,0,0,0,0,0,0,0
Onocosmoecus,0,0,1,0,0,0,1,0,0,0
Onychargia,0,0,0,0,0,0,0,0,0,0
Onychogomphus,0,0,0,0,1,1,0,0,0,0
Onychothemis,0,0,0,0,1,0,0,0,1,0
Ophiogomphus,0,0,0,0,1,1,0,0,0,0
Oplonaeschna,0,0,0,0,1,0,1,0,0,0
Orchithemis,0,0,0,0,1,0,1,0,1,0
Oreiallagma,0,0,0,0,0,0,0,0,0,0
Oreocnemis,0,0,0,0,1,0,0,1,1,0
Orientogomphus,0,0,0,0,1,1,0,0,0,0
Oristicta,0,0,0,0,0,0,0,0,0,0
Ormenophlebia,0,0,0,0,0,0,0,0,0,0
Orolestes,0,0,0,0,1,0,1,1,0,0
Oroperla,0,0,0,0,1,0,0,1,0,0
Orphninotrichia,0,1,1,0,0,0,0,1,0,0
Orthemis,0,0,0,0,1,0,1,1,1,0
Orthetrum,0,0,0,0,1,0,1,1,1,0
Orthopsyche,1,0,0,0,1,0,0,1,0,0
Orthotrichia,0,1,1,0,0,0,0,1,0,0
Oxyagrion,0,0,0,0,1,0,1,1,1,0
Oxyallagma,0,0,0,0,1,0,1,0,1,0
Oxyethira,0,1,1,0,0,0,0,1,0,0
Oxygastra,0,0,0,0,0,0,0,0,0,0
Oxystigma,0,0,0,0,0,0,0,0,0,0
Oxythemis,0,0,0,0,1,0,1,1,1,0
Oyamia,0,0,0,0,1,0,0,1,0,1
Pachydiplax,0,0,0,0,1,0,1,1,1,0
Pachyleuctra,0,0,1,0,0,0,0,1,0,0
Paduniella,0,1,1,1,0,0,0,1,0,0
Paegniodes,0,1,0,1,0,0,0,1,0,0
Palaemnema,0,0,0,0,0,0,0,0,0,0
Palaiargia,0,0,0,0,0,0,0,0,0,0
Palingenia,0,0,0,0,0,0,0,0,0,0
Palpopleura,0,0,0,0,1,0,1,1,1,0
Paltothemis,0,0,0,0,1,0,1,1,1,0
Paniplax,0,0,0,0,0,0,0,0,0,0
Pantala,0,0,0,0,1,0,1,1,1,0
Papagnetina,0,0,0,0,1,0,0,1,0,1
Papuagrion,0,0,0,0,1,0,1,1,0,0
Paracapnia,0,0,1,0,0,0,0,1,0,0
Paracercion,0,0,0,0,1,0,1,1,0,0
Parachiona,0,0,1,1,1,0,0,1,1,0
Paracinygmula,0,0,0,0,0,0,0,0,0,0
Paracloeodes,0,1,0,1,0,0,1,1,0,1
Paracordulia,0,0,0,0,1,0,1,0,1,0
Paragnetina,0,0,0,0,0,0,0,0,0,0
Paragomphus,0,0,0,0,1,1,0,1,0,0
Paraleptophlebia,0,1,1,0,0,1,0,1,1,1
Paraleuctra,0,0,1,0,0,0,0,1,0,0
Parameletus,0,0,0,0,0,0,1,0,0,1
Paranyctiophylax,1,0,1,0,1,0,0,1,0,0
Paraperla,0,0,0,0,1,0,0,1,0,0
Paraphlebia,0,0,0,0,0,0,0,0,0,0
Paraphlegopteryx,0,0,0,0,0,0,0,0,0,0
Parapsyche,1,0,0,0,1,0,0,1,0,0
Parasericostoma,0,1,1,0,0,1,0,0,1,0
Parasetodes,0,1,0,0,1,1,1,1,1,1
Parasynthemis,0,0,0,0,0,0,0,0,0,0
Parazyxomma,0,0,0,0,1,0,1,1,1,0
Paroxyethira,0,1,1,0,0,0,0,1,0,0
Paucicalcaria,0,0,0,0,1,0,1,0,0,0
Paulianodes,0,0,0,0,0,0,0,0,0,0
Pedomoecus,0,0,0,1,0,0,0,1,0,0
Peltoperla,0,0,1,0,0,0,0,1,1,0
Peltoperlopsis,0,0,1,0,0,0,0,1,0,0
Pelurgoperla,0,0,0,0,0,0,0,0,0,0
Penaphlebia,0,0,0,0,0,0,0,0,0,0
Pentagenia,1,1,0,0,0,1,0,0,0,0
Pentaphlebia,0,0,0,0,0,0,0,0,0,0
Pentathemis,0,0,0,0,1,0,1,0,1,0
Penturoperla,0,0,0,0,1,0,0,1,0,0
Periaeschna,0,0,0,0,1,0,1,1,0,0
Pericnemis,0,0,0,0,1,0,1,0,1,0
Perigomphus,0,0,0,0,1,1,0,1,0,0
Perilestes,0,0,0,0,0,0,0,0,0,0
Periomyia,0,0,0,0,0,0,0,0,0,0
Perissogomphus,0,0,0,0,1,1,0,1,0,0
Perissolestes,0,0,0,0,0,0,0,0,0,0
Perissophlebiodes,0,1,1,0,0,0,0,1,1,0
Peristicta,0,0,0,0,1,0,1,1,1,0
Perithemis,0,0,0,0,1,0,1,1,1,0
Perla,0,0,0,0,0,0,0,0,0,0
Perlesta,0,0,1,1,1,0,0,1,0,1
Perlinella,0,0,0,0,1,0,0,1,0,1
Perlinodes,0,0,0,0,1,0,0,1,0,0
