"","Assemblage","Taxonomic Diversity","Taxonomic Observed","Taxonomic Estimator","s.e.","LCL","UCL"
"110","1040040240","Shannon diversity",15.981048866258,16.5870117539,NA,NA,NA
"111","1040040240","Simpson diversity",13.3769487750557,13.9351178353215,NA,NA,NA
"112","1040040320","Species richness",19,68.1525423728814,NA,NA,NA
"113","1040040320","Shannon diversity",13.2529636730869,20.176574934967,NA,NA,NA
"114","1040040320","Simpson diversity",10.2684365781711,12.2214285714286,NA,NA,NA
"115","1040040340","Species richness",10,10.4901960784314,NA,NA,NA
"116","1040040340","Shannon diversity",8.33772991657728,9.21642659452338,NA,NA,NA
"117","1040040340","Simpson diversity",7.36827195467422,8.44370860927151,NA,NA,NA
"118","1040040520","Species richness",21,61.0290697674419,NA,NA,NA
"119","1040040520","Shannon diversity",13.4006727303588,17.6437996209967,NA,NA,NA
"120","1040040520","Simpson diversity",9.70603674540683,10.8136094674556,NA,NA,NA
"121","1040041020","Species richness",19,38.8529411764706,NA,NA,NA
"122","1040041020","Shannon diversity",14.3824792230895,20.7752099262267,NA,NA,NA
"123","1040041020","Simpson diversity",11.6636771300448,14.8255813953488,NA,NA,NA
"124","1040601190","Species richness",17,37.7640449438202,NA,NA,NA
"125","1040601190","Shannon diversity",12.062692287011,14.556382098246,NA,NA,NA
"126","1040601190","Simpson diversity",10.3272490221643,11.5516224188791,NA,NA,NA
"127","1040601200","Species richness",22,46.297520661157,NA,NA,NA
"128","1040601200","Shannon diversity",14.7156122869126,17.3671796018694,NA,NA,NA
"129","1040601200","Simpson diversity",11.7034372501998,12.8495575221239,NA,NA,NA
"130","1040837890","Species richness",77,83.5421981004071,NA,NA,NA
"131","1040837890","Shannon diversity",22.7284409930286,23.2370365849432,NA,NA,NA
"132","1040837890","Simpson diversity",11.6307389366774,11.6926110599559,NA,NA,NA
"133","1040873640","Species richness",35,43.1348897535668,NA,NA,NA
"134","1040873640","Shannon diversity",22.0698488697356,24.102563033399,NA,NA,NA
"135","1040873640","Simpson diversity",16.6328380760514,17.7145934302638,NA,NA,NA
"136","1040909890","Species richness",93,117.056303778526,NA,NA,NA
"137","1040909890","Shannon diversity",59.5660328066712,63.7941797900776,NA,NA,NA
"138","1040909890","Simpson diversity",45.7911403356982,48.2178037212697,NA,NA,NA
"139","1041156960","Species richness",61,75.1843971631206,NA,NA,NA
"140","1041156960","Shannon diversity",39.0564757934648,43.5379081745804,NA,NA,NA
"141","1041156960","Simpson diversity",29.4043261231281,31.8140794223827,NA,NA,NA
"142","1041174950","Species richness",22,51.6326530612245,NA,NA,NA
"143","1041174950","Shannon diversity",17.8399289852514,28.9342515281117,NA,NA,NA
"144","1041174950","Simpson diversity",14.9130434782609,21,NA,NA,NA
"145","1041259940","Species richness",55,72.9736070381232,NA,NA,NA
"146","1041259940","Shannon diversity",25.6727968817618,27.1384695371818,NA,NA,NA
"147","1041259940","Simpson diversity",15.9737619341988,16.3328878885919,NA,NA,NA
"148","1041259950","Species richness",24,26.6442577030812,NA,NA,NA
"149","1041259950","Shannon diversity",19.5461005034036,21.9810880094652,NA,NA,NA
"150","1041259950","Simpson diversity",17.1648484848485,19.8895184135977,NA,NA,NA
"151","1041431480","Species richness",28,33.7358374384236,NA,NA,NA
"152","1041431480","Shannon diversity",17.5938111345712,20.6475863696502,NA,NA,NA
"153","1041431480","Simpson diversity",12.2105263157895,13.5294117647059,NA,NA,NA
"154","1041431680","Species richness",30,31.12060546875,NA,NA,NA
"155","1041431680","Shannon diversity",21.8529310588388,23.2636868258863,NA,NA,NA
"156","1041431680","Simpson diversity",17.760433604336,19.009900990099,NA,NA,NA
"157","1041438780","Species richness",30,38.5763736263736,NA,NA,NA
"158","1041438780","Shannon diversity",17.7416218144269,20.9069131678103,NA,NA,NA
"159","1041438780","Simpson diversity",12.6876876876877,13.9517470881864,NA,NA,NA
"160","1041438860","Species richness",37,57.9522727272727,NA,NA,NA
"161","1041438860","Shannon diversity",24.3453805719367,25.8827366543996,NA,NA,NA
"162","1041438860","Simpson diversity",18.921032056294,19.7263071895425,NA,NA,NA
"163","1041472390","Species richness",27,29.2293577981651,NA,NA,NA
"164","1041472390","Shannon diversity",18.7570189945764,21.6700558539874,NA,NA,NA
"165","1041472390","Simpson diversity",14.2629051620648,16.2596685082873,NA,NA,NA
"166","1041472430","Species richness",36,48.4472573839662,NA,NA,NA
"167","1041472430","Shannon diversity",22.5219179350721,25.0914193730344,NA,NA,NA
"168","1041472430","Simpson diversity",16.5154366362834,17.6776232616941,NA,NA,NA
"169","1041473880","Species richness",41,47.1079861111111,NA,NA,NA
"170","1041473880","Shannon diversity",28.9185707413929,30.9834313823192,NA,NA,NA
"171","1041473880","Simpson diversity",23.9290989660266,25.5617088607595,NA,NA,NA
"172","1041473950","Species richness",39,39,NA,NA,NA
"173","1041473950","Shannon diversity",27.6860977431278,28.2692693798782,NA,NA,NA
"174","1041473950","Simpson diversity",23.7953101030024,24.3925559428764,NA,NA,NA
"175","1041477980","Species richness",33,33.6649572649573,NA,NA,NA
"176","1041477980","Shannon diversity",25.1742244022878,26.298985674667,NA,NA,NA
"177","1041477980","Simpson diversity",20.8871189233727,22.0124782356355,NA,NA,NA
"178","1041478080","Species richness",21,21.7451612903226,NA,NA,NA
"179","1041478080","Shannon diversity",13.3991807563595,14.4048876201563,NA,NA,NA
"180","1041478080","Simpson diversity",10.2714835399743,10.9294871794872,NA,NA,NA
"181","1041515680","Species richness",50,53.1238910574876,NA,NA,NA
"182","1041515680","Shannon diversity",27.2012954375101,27.4668176059889,NA,NA,NA
"183","1041515680","Simpson diversity",22.3001387242981,22.4700411000781,NA,NA,NA
"184","1041515780","Species richness",25,45.8985507246377,NA,NA,NA
"185","1041515780","Shannon diversity",18.4478196030217,20.3984074313186,NA,NA,NA
"186","1041515780","Simpson diversity",16.4994224104736,17.8418410041841,NA,NA,NA
"187","1041533130","Species richness",20,26.1855670103093,NA,NA,NA
"188","1041533130","Shannon diversity",14.9375877480499,17.1865925133531,NA,NA,NA
"189","1041533130","Simpson diversity",12.2036316472114,13.8160237388724,NA,NA,NA
"190","1041548760","Species richness",39,39.2498685594111,NA,NA,NA
"191","1041548760","Shannon diversity",24.0671365578361,24.3153066022995,NA,NA,NA
"192","1041548760","Simpson diversity",18.07825774082,18.2421420138644,NA,NA,NA
"193","1041576090","Species richness",46,46.0998917748918,NA,NA,NA
"194","1041576090","Shannon diversity",26.5586445031953,27.2341408181476,NA,NA,NA
"195","1041576090","Simpson diversity",18.0708631418533,18.4113812011571,NA,NA,NA
"196","1041576130","Species richness",51,95.9649259547935,NA,NA,NA
"197","1041576130","Shannon diversity",24.4513557343443,25.2318695796046,NA,NA,NA
"198","1041576130","Simpson diversity",16.3625510680808,16.5610060613383,NA,NA,NA
"199","1041620200","Species richness",16,18.98828125,NA,NA,NA
"200","1041620200","Shannon diversity",11.7593364553486,12.2089431030125,NA,NA,NA
"201","1041620200","Simpson diversity",10.3794741843522,10.7758336084516,NA,NA,NA
"202","1041620260","Species richness",13,20.8333333333333,NA,NA,NA
"203","1041620260","Shannon diversity",10.4582224831627,12.9202724474336,NA,NA,NA
"204","1041620260","Simpson diversity",9.14285714285714,11.0588235294118,NA,NA,NA
"205","1041624310","Species richness",15,15.6605504587156,NA,NA,NA
"206","1041624310","Shannon diversity",10.9804589444187,11.8067644811203,NA,NA,NA
"207","1041624310","Simpson diversity",9.26032735775526,10.0272572402044,NA,NA,NA
"208","1041629370","Species richness",31,33.4930555555556,NA,NA,NA
"209","1041629370","Shannon diversity",18.4904687713909,19.416328704341,NA,NA,NA
"210","1041629370","Simpson diversity",14.4352862552907,14.9965189139011,NA,NA,NA
"211","1041629430","Species richness",22,23.1196682464455,NA,NA,NA
"212","1041629430","Shannon diversity",14.7063332483697,15.559912583826,NA,NA,NA
"213","1041629430","Simpson diversity",11.8754334489197,12.5240248728095,NA,NA,NA
"214","2040000010","Species richness",100,108.642106569071,NA,NA,NA
"215","2040000010","Shannon diversity",26.7186649612694,26.850756216247,NA,NA,NA
"216","2040000010","Simpson diversity",18.0895696505572,18.1164588711321,NA,NA,NA
"217","2040003550","Species richness",59,99.4087837837838,NA,NA,NA
"218","2040003550","Shannon diversity",36.5139312555939,40.7513076183445,NA,NA,NA
"219","2040003550","Simpson diversity",28.5787184691215,30.4759838859621,NA,NA,NA
"220","2040003560","Species richness",74,88.38125,NA,NA,NA
"221","2040003560","Shannon diversity",45.2490928433764,48.0666883139728,NA,NA,NA
"222","2040003560","Simpson diversity",34.1570535093815,35.7003636363635,NA,NA,NA
"223","2040004130","Species richness",51,63.0434206165065,NA,NA,NA
"224","2040004130","Shannon diversity",28.753507238857,31.1154577567014,NA,NA,NA
"225","2040004130","Simpson diversity",21.3788698354241,22.4424800193751,NA,NA,NA
"226","2040004140","Species richness",16,16,NA,NA,NA
"227","2040004140","Shannon diversity",12.6008030364345,13.1734977268762,NA,NA,NA
"228","2040004140","Simpson diversity",10.5712290502793,11.1903345724907,NA,NA,NA
"229","2040004280","Species richness",37,47.2607489597781,NA,NA,NA
"230","2040004280","Shannon diversity",16.6791877894592,17.7571174413478,NA,NA,NA
"231","2040004280","Simpson diversity",12.0848640182258,12.4198327710136,NA,NA,NA
"232","2040004290","Species richness",61,73.783631713555,NA,NA,NA
"233","2040004290","Shannon diversity",22.4115228179351,23.594758875958,NA,NA,NA
"234","2040004290","Simpson diversity",13.8160046992906,14.0465041398344,NA,NA,NA
"235","2040005120","Species richness",62,82.2202643171806,NA,NA,NA
"236","2040005120","Shannon diversity",26.7144169077139,28.5076352888294,NA,NA,NA
"237","2040005120","Simpson diversity",17.4575945793337,17.890588780714,NA,NA,NA
"238","2040005130","Species richness",27,81.6283783783784,NA,NA,NA
"239","2040005130","Shannon diversity",17.0452462503008,20.940974334725,NA,NA,NA
"240","2040005130","Simpson diversity",13.1318944844125,14.3131578947368,NA,NA,NA
"241","2040005690","Species richness",38,44.1119957537155,NA,NA,NA
"242","2040005690","Shannon diversity",20.1045408200098,21.1256016885218,NA,NA,NA
"243","2040005690","Simpson diversity",14.5555409750016,14.9878131347325,NA,NA,NA
"244","2040006600","Species richness",38,48.1075731497418,NA,NA,NA
"245","2040006600","Shannon diversity",18.2227625390125,19.0381200011009,NA,NA,NA
"246","2040006600","Simpson diversity",13.4695742388572,13.765522875817,NA,NA,NA
"247","2040007930","Species richness",45,46.9934853420195,NA,NA,NA
"248","2040007930","Shannon diversity",31.5457270335859,34.1973797649952,NA,NA,NA
"249","2040007930","Simpson diversity",24.8088970781785,26.90206185567,NA,NA,NA
"250","2040007940","Species richness",37,45.0918837675351,NA,NA,NA
"251","2040007940","Shannon diversity",15.6990075324633,16.0826659742085,NA,NA,NA
"252","2040007940","Simpson diversity",12.3767179461689,12.5195782374553,NA,NA,NA
"253","2040008490","Species richness",68,80.2332421340629,NA,NA,NA
"254","2040008490","Shannon diversity",31.8110494714105,33.7442973533489,NA,NA,NA
"255","2040008490","Simpson diversity",20.194285930237,20.7396035755926,NA,NA,NA
"256","2040008500","Species richness",65,77.2464636258661,NA,NA,NA
"257","2040008500","Shannon diversity",24.2850641021856,24.5764352557773,NA,NA,NA
"258","2040008500","Simpson diversity",18.3763763947722,18.4690489753814,NA,NA,NA
"259","2040009230","Species richness",129,134.332998535258,NA,NA,NA
"260","2040009230","Shannon diversity",53.8045546958344,54.0380259363866,NA,NA,NA
"261","2040009230","Simpson diversity",37.2668407592914,37.351882807495,NA,NA,NA
"262","2040012730","Species richness",151,159.999674396729,NA,NA,NA
"263","2040012730","Shannon diversity",65.2967266301472,65.4876358299468,NA,NA,NA
"264","2040012730","Simpson diversity",43.475963099214,43.5428779210596,NA,NA,NA
"265","2040014550","Species richness",113,115.461244651744,NA,NA,NA
"266","2040014550","Shannon diversity",44.8416251776164,45.161307197791,NA,NA,NA
"267","2040014550","Simpson diversity",27.2871863412616,27.3730836015419,NA,NA,NA
"268","2040016230","Species richness",205,208.599982861142,NA,NA,NA
"269","2040016230","Shannon diversity",58.7125345465074,58.7420898380739,NA,NA,NA
"270","2040016230","Simpson diversity",36.9848256063464,36.9911628270929,NA,NA,NA
"271","2040018240","Species richness",47,50.5895953757225,NA,NA,NA
"272","2040018240","Shannon diversity",32.3871439935314,34.9811333262668,NA,NA,NA
"273","2040018240","Simpson diversity",24.9304456476468,26.7885996409335,NA,NA,NA
"274","2040018360","Species richness",81,86.3307593307593,NA,NA,NA
"275","2040018360","Shannon diversity",34.8687064271273,35.6355621161456,NA,NA,NA
"276","2040018360","Simpson diversity",21.429703800577,21.6432066012327,NA,NA,NA
"277","2040018370","Species richness",29,29.4085039780879,NA,NA,NA
"278","2040018370","Shannon diversity",10.9263754709748,11.1667862114806,NA,NA,NA
"279","2040018370","Simpson diversity",8.37269703393482,8.46233820604962,NA,NA,NA
"280","2040018460","Species richness",43,59.2728395061728,NA,NA,NA
"281","2040018460","Shannon diversity",22.5157280831211,25.3402749695815,NA,NA,NA
"282","2040018460","Simpson diversity",15.4580152671756,16.336032388664,NA,NA,NA
"283","2040018470","Species richness",50,50.7343278967303,NA,NA,NA
"284","2040018470","Shannon diversity",21.8941752639654,22.668534966155,NA,NA,NA
"285","2040018470","Simpson diversity",14.696637482553,14.9663595901045,NA,NA,NA
"286","2040018840","Species richness",95,122.532277960526,NA,NA,NA
"287","2040018840","Shannon diversity",53.1538389453487,57.0626911720517,NA,NA,NA
"288","2040018840","Simpson diversity",37.1513310702162,38.6865338051778,NA,NA,NA
"289","2040018850","Species richness",89,102.489112903226,NA,NA,NA
"290","2040018850","Shannon diversity",59.1063768262212,61.6654743437319,NA,NA,NA
"291","2040018850","Simpson diversity",46.2297053517739,47.9812617114302,NA,NA,NA
"292","2040019150","Species richness",126,134.694649677697,NA,NA,NA
"293","2040019150","Shannon diversity",32.953960368998,33.2295253900691,NA,NA,NA
"294","2040019150","Simpson diversity",26.6823591661182,26.7616052352423,NA,NA,NA
"295","2040019160","Species richness",135,153.177000529942,NA,NA,NA
"296","2040019160","Shannon diversity",63.1044674803726,64.4724970006999,NA,NA,NA
"297","2040019160","Simpson diversity",40.6838088273939,41.1162630876825,NA,NA,NA
"298","2040020320","Species richness",182,183.785692720419,NA,NA,NA
"299","2040020320","Shannon diversity",63.0484415632014,63.119386350666,NA,NA,NA
"300","2040020320","Simpson diversity",42.0582673955623,42.0791322845181,NA,NA,NA
"301","2040021030","Species richness",182,189.142790951357,NA,NA,NA
"302","2040021030","Shannon diversity",51.8570637244674,51.9036457883709,NA,NA,NA
"303","2040021030","Simpson diversity",31.9022559347238,31.911394336509,NA,NA,NA
"304","2040021040","Species richness",136,136.642836498761,NA,NA,NA
"305","2040021040","Shannon diversity",61.5720148346517,61.7085587341488,NA,NA,NA
"306","2040021040","Simpson diversity",43.2574009575962,43.3161834918382,NA,NA,NA
"307","2040022150","Species richness",167,188.124760286408,NA,NA,NA
"308","2040022150","Shannon diversity",30.2523884207885,30.2851395100807,NA,NA,NA
"309","2040022150","Simpson diversity",20.1255297112753,20.1298984485333,NA,NA,NA
"310","2040022160","Species richness",167,170.599991712135,NA,NA,NA
"311","2040022160","Shannon diversity",33.6440877745013,33.6507861683211,NA,NA,NA
"312","2040022160","Simpson diversity",22.180769860235,22.1818514951852,NA,NA,NA
"313","2040023010","Species richness",196,215.599957859703,NA,NA,NA
"314","2040023010","Shannon diversity",46.9654740336289,46.9765349047831,NA,NA,NA
"315","2040023010","Simpson diversity",27.506080694328,27.5076483166341,NA,NA,NA
"316","2040023020","Species richness",159,163.166658034022,NA,NA,NA
"317","2040023020","Shannon diversity",32.613359543447,32.6189374460196,NA,NA,NA
"318","2040023020","Simpson diversity",21.6974769827996,21.6984074504111,NA,NA,NA
"319","2040024170","Species richness",160,191.999271866752,NA,NA,NA
"320","2040024170","Shannon diversity",65.0629823942156,65.1983444022717,NA,NA,NA
"321","2040024170","Simpson diversity",41.2529687459151,41.29078877527,NA,NA,NA
"322","2040024180","Species richness",31,41.1131161971831,NA,NA,NA
"323","2040024180","Shannon diversity",11.8037917552976,12.1097813356773,NA,NA,NA
"324","2040024180","Simpson diversity",8.52800751879699,8.60412018797171,NA,NA,NA
"325","2040024230","Species richness",124,133.999713762308,NA,NA,NA
"326","2040024230","Shannon diversity",44.4827024321109,44.5704594297284,NA,NA,NA
"327","2040024230","Simpson diversity",29.5729215565212,29.5971286965396,NA,NA,NA
"328","2040026060","Species richness",132,139.198162796632,NA,NA,NA
"329","2040026060","Shannon diversity",67.9130631258209,69.1832531120754,NA,NA,NA
"330","2040026060","Simpson diversity",47.5172126811067,48.0881485239678,NA,NA,NA
"331","2040026070","Species richness",16,17.4736842105263,NA,NA,NA
"332","2040026070","Shannon diversity",12.4035362686408,14.5614630423265,NA,NA,NA
"333","2040026070","Simpson diversity",9.81570996978852,11.6496350364964,NA,NA,NA
"334","2040026550","Species richness",111,125.078735444553,NA,NA,NA
"335","2040026550","Shannon diversity",60.2250385916834,61.516742126444,NA,NA,NA
"336","2040026550","Simpson diversity",38.0435949734602,38.5094765713535,NA,NA,NA
"337","2040026560","Species richness",55,58.6704193639178,NA,NA,NA
"338","2040026560","Shannon diversity",34.927182021034,38.4978351534643,NA,NA,NA
"339","2040026560","Simpson diversity",22.8340993652878,24.4950541686293,NA,NA,NA
"340","2040026920","Species richness",91,93.5712526389866,NA,NA,NA
"341","2040026920","Shannon diversity",31.6398937112593,31.7439169501694,NA,NA,NA
"342","2040026920","Simpson diversity",21.7292750108836,21.7601386371638,NA,NA,NA
"343","2040026930","Species richness",73,79.7484418282548,NA,NA,NA
"344","2040026930","Shannon diversity",26.7806374602565,27.0396687461483,NA,NA,NA
"345","2040026930","Simpson diversity",18.7653607934035,18.8426516047781,NA,NA,NA
"346","2040027320","Species richness",61,66.7545923632611,NA,NA,NA
"347","2040027320","Shannon diversity",26.838603923724,28.6116976377905,NA,NA,NA
"348","2040027320","Simpson diversity",17.4884271719238,18.010328742781,NA,NA,NA
"349","2040027330","Species richness",128,132.083069176694,NA,NA,NA
"350","2040027330","Shannon diversity",50.4381269694506,50.6590613317181,NA,NA,NA
"351","2040027330","Simpson diversity",30.8245592580323,30.8841507819459,NA,NA,NA
"352","2040028310","Species richness",107,109.083089640114,NA,NA,NA
"353","2040028310","Shannon diversity",32.0592776853709,32.2695101488912,NA,NA,NA
"354","2040028310","Simpson diversity",20.1823069367273,20.2276993017988,NA,NA,NA
"355","2040028320","Species richness",82,88.2486855941115,NA,NA,NA
"356","2040028320","Shannon diversity",35.6812585308078,36.0294279037639,NA,NA,NA
"357","2040028320","Simpson diversity",24.1317489575117,24.2497420042782,NA,NA,NA
"358","2040028660","Species richness",101,108.141867964469,NA,NA,NA
"359","2040028660","Shannon diversity",30.6649288782567,30.9048775891324,NA,NA,NA
"360","2040028660","Simpson diversity",18.8524634676592,18.8991943786304,NA,NA,NA
"361","2040028670","Species richness",118,120.6665649864,NA,NA,NA
"362","2040028670","Shannon diversity",43.5170620706392,43.6185244488287,NA,NA,NA
"363","2040028670","Simpson diversity",27.2970160026155,27.3244154531564,NA,NA,NA
"364","2040029940","Species richness",98,101.598662207358,NA,NA,NA
"365","2040029940","Shannon diversity",51.9637382401853,52.9857826797879,NA,NA,NA
"366","2040029940","Simpson diversity",36.3172647257955,36.8004209370424,NA,NA,NA
"367","2040029950","Species richness",92,102.553961196443,NA,NA,NA
"368","2040029950","Shannon diversity",51.9608578809164,54.2916346902456,NA,NA,NA
"369","2040029950","Simpson diversity",35.516769955667,36.5371122687952,NA,NA,NA
