"","Assemblage","Taxonomic Diversity","Taxonomic Observed","Taxonomic Estimator","s.e.","LCL","UCL","qTD","proportion"
"22","1040019420","Species richness",15,23.7352941176471,NA,NA,NA,22.6857591413526,0.661207760628004
"23","1040019430","Species richness",24,32.9072164948454,NA,NA,NA,29.8937002262769,0.802844740474909
"24","1040020040","Species richness",10,15.6470588235294,NA,NA,NA,15.2937500196283,0.653861870840429
"25","1040020240","Species richness",9,41,NA,NA,NA,40.3141652630155,0.223246591893512
"26","1040020250","Species richness",16,29.0344827586207,NA,NA,NA,28.140819313459,0.568569088972744
"27","1040020570","Species richness",63,63.5622961956522,NA,NA,NA,48.5072933103336,1.29877376577058
"28","1040020580","Species richness",30,38.527619047619,NA,NA,NA,37.2984606878284,0.804322737366743
"29","1040021510","Species richness",4,8.5,NA,NA,NA,8.38569421050258,0.477002845511614
"30","1040021910","Species richness",28,34.4306220095694,NA,NA,NA,33.7750169028651,0.829015129156745
"31","1040021940","Species richness",21,21,NA,NA,NA,20.8747651036713,1.00599934397856
"32","1040022420","Species richness",47,47.9989868287741,NA,NA,NA,43.384945081153,1.08332510072526
"33","1040022430","Species richness",95,105.559344188826,NA,NA,NA,73.7680725344725,1.28782001123326
"34","1040023300","Species richness",18,20.5,NA,NA,NA,20.1674740669166,0.892526249954516
"35","1040023310","Species richness",41,43.5158155487805,NA,NA,NA,42.5422679439136,0.963747397154593
"36","1040023890","Species richness",13,18.7777777777778,NA,NA,NA,18.2166402656995,0.71363323919164
"37","1040023900","Species richness",19,45.9021739130435,NA,NA,NA,45.0240976209951,0.421996242099923
"38","1040024080","Species richness",67,69.2487758433079,NA,NA,NA,55.325960552619,1.21100473142763
"39","1040026800","Species richness",21,23.6436781609195,NA,NA,NA,22.0295418607437,0.953265398470299
"40","1040026820","Species richness",8,19.6666666666667,NA,NA,NA,18.918483317229,0.422866879223581
"41","1040027410","Species richness",7,7,NA,NA,NA,6.97385256696381,1.00374935271217
"42","1040027420","Species richness",2,2.5,NA,NA,NA,2.46882569377343,0.810101743936056
"43","1040027430","Species richness",8,9.05,NA,NA,NA,8.92010705738929,0.896850222596029
"44","1040028960","Species richness",17,20.552,NA,NA,NA,19.6084576648757,0.866972828283776
"45","1040028970","Species richness",44,68.950884086444,NA,NA,NA,42.7798748427037,1.02852100810913
"46","1040029430","Species richness",34,39.7502191060473,NA,NA,NA,37.5650486886421,0.905096657315926
"47","1040029440","Species richness",6,6.49609375,NA,NA,NA,5.03611035322441,1.19139565640345
"48","1040029700","Species richness",28,32.5274725274725,NA,NA,NA,31.283469259955,0.895041396059033
"49","1040029710","Species richness",11,14.9855072463768,NA,NA,NA,14.5837050772343,0.754266487270877
"50","1040029810","Species richness",72,95.1104895104895,NA,NA,NA,76.0110312290116,0.947230932613888
"51","1040031860","Species richness",6,6,NA,NA,NA,5.95713225203239,1.00719603764932
"52","1040034170","Species richness",7,7,NA,NA,NA,6.51050890178197,1.0751847675201
"53","1040034260","Species richness",13,13,NA,NA,NA,11.2235139577135,1.15828251730962
"54","1040034270","Species richness",10,14.4347826086957,NA,NA,NA,12.2941469144712,0.813395192815631
"55","1040034490","Species richness",2,2,NA,NA,NA,1.76394226676489,1.13382395653348
"56","1040034610","Species richness",14,14.3994542974079,NA,NA,NA,7.10275135763051,1.97106716750823
"57","1040034900","Species richness",13,13,NA,NA,NA,11.5922274660381,1.12144107231214
"58","1040035400","Species richness",20,29.9310344827586,NA,NA,NA,29.4114627123158,0.68000698216295
"59","1040035590","Species richness",12,14.5945945945946,NA,NA,NA,14.0750228241517,0.852574105912556
"60","1040036020","Species richness",4,4.47222222222222,NA,NA,NA,4.27478494945394,0.935719585264975
"61","1040036030","Species richness",6,18.5,NA,NA,NA,18.2194312439609,0.329318732273204
"62","1040036860","Species richness",13,15.6214689265537,NA,NA,NA,14.7970817174511,0.878551612286381
"63","1040036870","Species richness",50,86.051724137931,NA,NA,NA,64.3024498271926,0.777575351084924
"64","1040040050","Species richness",13,20.864406779661,NA,NA,NA,18.4328108939887,0.705264111630395
"65","1040040200","Species richness",14,17.92,NA,NA,NA,16.8808564591143,0.829341807029058
"66","1040040230","Species richness",2,2,NA,NA,NA,1.82405898025151,1.09645577344447
"67","1040040240","Species richness",23,23.1661290322581,NA,NA,NA,21.5276901174288,1.06839144722634
"68","1040040260","Species richness",11,16.7166666666667,NA,NA,NA,16.441293628332,0.669047110809126
"69","1040040280","Species richness",5,6.92857142857143,NA,NA,NA,6.814265639074,0.733754782221765
"70","1040040300","Species richness",3,3,NA,NA,NA,2.96622232016695,1.01138744038281
"71","1040040310","Species richness",2,2,NA,NA,NA,1.90983685512696,1.04720986749784
"72","1040040320","Species richness",19,68.1525423728814,NA,NA,NA,62.1047269649272,0.305934844713672
"73","1040040340","Species richness",10,10.4901960784314,NA,NA,NA,9.94940284089692,1.00508544682653
"74","1040040420","Species richness",5,5.45833333333333,NA,NA,NA,5.32324467301819,0.939276758279285
"75","1040040520","Species richness",21,61.0290697674419,NA,NA,NA,53.0588388088471,0.395787025714148
"76","1040040540","Species richness",7,7,NA,NA,NA,6.82761269916742,1.0252485471025
"77","1040040630","Species richness",8,8,NA,NA,NA,7.58399386385576,1.05485317414705
"78","1040040920","Species richness",7,18.25,NA,NA,NA,17.7616025357837,0.394108582595367
"79","1040041020","Species richness",19,38.8529411764706,NA,NA,NA,36.4940853386602,0.520632311337099
"80","1040041270","Species richness",14,37.6551724137931,NA,NA,NA,35.5976682028395,0.393284187049175
"81","1040041770","Species richness",6,9.5,NA,NA,NA,9.33373703345829,0.642829338183841
"82","1040042410","Species richness",3,4.5,NA,NA,NA,4.41686851672915,0.67921424163688
"83","1040526810","Species richness",8,11.7142857142857,NA,NA,NA,11.4233255228377,0.700321459281385
"84","1040526970","Species richness",10,10.6428571428571,NA,NA,NA,10.43502843468,0.958310757138503
"85","1040571900","Species richness",5,13,NA,NA,NA,12.8129541626406,0.390230070016076
"86","1040601190","Species richness",17,37.7640449438202,NA,NA,NA,32.2565841771257,0.527024185408178
"87","1040601200","Species richness",22,46.297520661157,NA,NA,NA,37.5479320469001,0.585917753673369
"88","1040695300","Species richness",5,13,NA,NA,NA,12.8129541626406,0.390230070016076
"89","1040709280","Species richness",12,42.3157894736842,NA,NA,NA,40.7986399039911,0.294127451999352
"90","1040722720","Species richness",4,5.71428571428571,NA,NA,NA,5.56880561856172,0.718286877650633
"91","1040760280","Species richness",4,8.5,NA,NA,NA,8.38569421050258,0.477002845511614
"92","1040837630","Species richness",7,11.2631578947368,NA,NA,NA,10.6812375118409,0.65535477441074
"93","1040837890","Species richness",77,83.5421981004071,NA,NA,NA,62.5731400805249,1.23055994794107
"94","1040840230","Species richness",4,4,NA,NA,NA,3.95190906754763,1.01216903821175
"95","1040873640","Species richness",35,43.1348897535668,NA,NA,NA,36.9069561318593,0.948330712371776
"96","1040909890","Species richness",93,117.056303778526,NA,NA,NA,91.1661800404616,1.02011513434834
"97","1040909900","Species richness",29,54.1586206896552,NA,NA,NA,52.2424400002618,0.555104240917052
"98","1040915990","Species richness",10,14.3333333333333,NA,NA,NA,13.5020185006248,0.740630002805674
"99","1041139430","Species richness",9,10.0657894736842,NA,NA,NA,9.90472222484693,0.90865748636773
"100","1041145090","Species richness",4,4.22222222222222,NA,NA,NA,4.15987360976908,0.961567676144382
"101","1041156950","Species richness",4,4.83333333333333,NA,NA,NA,4.76059328547134,0.840231408174994
"102","1041156960","Species richness",61,75.1843971631206,NA,NA,NA,68.2359906863984,0.893956391434927
"103","1041174950","Species richness",22,51.6326530612245,NA,NA,NA,48.8685312424685,0.450187460941761
"104","1041213640","Species richness",13,79.8571428571429,NA,NA,NA,78.2152960625435,0.166207898639222
"105","1041259940","Species richness",55,72.9736070381232,NA,NA,NA,52.6741839225712,1.04415476243253
"106","1041259950","Species richness",24,26.6442577030812,NA,NA,NA,24.9885556612701,0.960439663873718
"107","1041431480","Species richness",28,33.7358374384236,NA,NA,NA,32.1786066178676,0.870143332572165
"108","1041431680","Species richness",30,31.12060546875,NA,NA,NA,29.0102987230137,1.03411551485339
"109","1041438780","Species richness",30,38.5763736263736,NA,NA,NA,36.4490983491033,0.823065627376158
"110","1041438860","Species richness",37,57.9522727272727,NA,NA,NA,34.1694189705964,1.08283960086765
"111","1041472390","Species richness",27,29.2293577981651,NA,NA,NA,28.36686865923,0.951814608949261
"112","1041472430","Species richness",36,48.4472573839662,NA,NA,NA,42.2955276219236,0.851153822262277
"113","1041473880","Species richness",41,47.1079861111111,NA,NA,NA,40.5708262471986,1.01057838334833
"114","1041473950","Species richness",39,39,NA,NA,NA,34.685114658345,1.12440164560958
"115","1041477980","Species richness",33,33.6649572649573,NA,NA,NA,30.7006417929741,1.07489609574065
"116","1041478080","Species richness",21,21.7451612903226,NA,NA,NA,20.9228898366997,1.00368544517044
"117","1041479540","Species richness",9,17.5,NA,NA,NA,16.9492539233306,0.530996823854974
"118","1041479650","Species richness",9,37.8,NA,NA,NA,37.0310337797446,0.243039393756349
"119","1041515680","Species richness",50,53.1238910574876,NA,NA,NA,37.7669953576643,1.32390727741208
"120","1041515780","Species richness",25,45.8985507246377,NA,NA,NA,33.0339536884718,0.756797089314941
"121","1041533130","Species richness",20,26.1855670103093,NA,NA,NA,23.670839641366,0.844921443557457
"122","1041533240","Species richness",9,9.63636363636364,NA,NA,NA,9.47010066982194,0.950359485478334
"123","1041548220","Species richness",8,13.7291666666667,NA,NA,NA,13.4226193221054,0.596008856991496
"124","1041548260","Species richness",20,29.7674418604651,NA,NA,NA,28.8737784153034,0.692669996712304
"125","1041548750","Species richness",2,2.5,NA,NA,NA,2.46882569377343,0.810101743936056
"126","1041548760","Species richness",39,39.2498685594111,NA,NA,NA,33.4485687710382,1.165969170967
"127","1041576090","Species richness",46,46.0998917748918,NA,NA,NA,41.6240591156674,1.10513008527526
"128","1041576130","Species richness",51,95.9649259547935,NA,NA,NA,41.3253149239935,1.23411037747203
"129","1041584690","Species richness",4,7.6,NA,NA,NA,7.454519904276,0.53658720499298
"130","1041620200","Species richness",16,18.98828125,NA,NA,NA,13.6524589472503,1.1719500539661
"131","1041620260","Species richness",13,20.8333333333333,NA,NA,NA,18.8589606056507,0.689327491150538
"132","1041624310","Species richness",15,15.6605504587156,NA,NA,NA,14.8886109659226,1.00748149268809
"133","1041624330","Species richness",16,17.469387755102,NA,NA,NA,16.9498159846592,0.943963050364745
"134","1041626200","Species richness",6,7.88888888888889,NA,NA,NA,7.51479721417004,0.798424738419593
"135","1041626210","Species richness",7,12.5384615384615,NA,NA,NA,12.143586992925,0.576435941380277
"136","1041629370","Species richness",31,33.4930555555556,NA,NA,NA,29.6021761651702,1.04722030660957
"137","1041629430","Species richness",22,23.1196682464455,NA,NA,NA,21.415005905386,1.02731701766502
"138","2040000010","Species richness",100,108.642106569071,NA,NA,NA,59.7406938624193,1.6739008795294
"139","2040003440","Species richness",3,5,NA,NA,NA,4.93765138754686,0.607576307952042
"140","2040003550","Species richness",59,99.4087837837838,NA,NA,NA,78.6726744254086,0.74994272701304
"141","2040003560","Species richness",74,88.38125,NA,NA,NA,70.7810699250154,1.04547727349127
"142","2040004130","Species richness",51,63.0434206165065,NA,NA,NA,54.7243343263285,0.931943725361375
"143","2040004140","Species richness",16,16,NA,NA,NA,15.1612985935758,1.0553185732243
"144","2040004280","Species richness",37,47.2607489597781,NA,NA,NA,39.9184575980352,0.926889519945308
"145","2040004290","Species richness",61,73.783631713555,NA,NA,NA,60.778334389012,1.0036471155917
"146","2040005120","Species richness",62,82.2202643171806,NA,NA,NA,66.3005852708102,0.935135033073327
"147","2040005130","Species richness",27,81.6283783783784,NA,NA,NA,66.3321854565397,0.407042219612833
"148","2040005690","Species richness",38,44.1119957537155,NA,NA,NA,36.1514695432684,1.05113292710049
"149","2040006590","Species richness",7,12.5555555555556,NA,NA,NA,12.3269439765607,0.567861751729405
"150","2040006600","Species richness",38,48.1075731497418,NA,NA,NA,35.4340889403451,1.07241363151666
"151","2040007930","Species richness",45,46.9934853420195,NA,NA,NA,44.8506370963363,1.00333022925277
"152","2040007940","Species richness",37,45.0918837675351,NA,NA,NA,29.2335324656501,1.26566982773894
"153","2040008490","Species richness",68,80.2332421340629,NA,NA,NA,66.9992668665322,1.01493647886418
"154","2040008500","Species richness",65,77.2464636258661,NA,NA,NA,39.9757578440177,1.62598543481339
"155","2040009230","Species richness",129,134.332998535258,NA,NA,NA,90.5974621147153,1.42388094532559
"156","2040012730","Species richness",151,159.999674396729,NA,NA,NA,110.507240318461,1.36642630441993
"157","2040014550","Species richness",113,115.461244651744,NA,NA,NA,82.0599576683723,1.37704189973708
"158","2040016230","Species richness",205,208.599982861142,NA,NA,NA,121.119065838527,1.6925493817241
"159","2040018240","Species richness",47,50.5895953757225,NA,NA,NA,46.3287850155766,1.01448807656401
"160","2040018360","Species richness",81,86.3307593307593,NA,NA,NA,68.6110082521547,1.18056857147929
"161","2040018370","Species richness",29,29.4085039780879,NA,NA,NA,25.3098096817242,1.14580079284201
"162","2040018460","Species richness",43,59.2728395061728,NA,NA,NA,52.7296990103975,0.815479716497548
"163","2040018470","Species richness",50,50.7343278967303,NA,NA,NA,46.8468061832871,1.06730861874289
"164","2040018840","Species richness",95,122.532277960526,NA,NA,NA,97.6616762388515,0.972745949676905
"165","2040018850","Species richness",89,102.489112903226,NA,NA,NA,81.5873418888892,1.09085549227974
"166","2040019150","Species richness",126,134.694649677697,NA,NA,NA,73.8236908961346,1.70676917491533
"167","2040019160","Species richness",135,153.177000529942,NA,NA,NA,108.481473055967,1.24445212806385
"168","2040020320","Species richness",182,183.785692720419,NA,NA,NA,111.760261080156,1.62848581634456
"169","2040021030","Species richness",182,189.142790951357,NA,NA,NA,101.291459611264,1.79679511676976
"170","2040021040","Species richness",136,136.642836498761,NA,NA,NA,94.8146874040921,1.43437692749415
"171","2040022150","Species richness",167,188.124760286408,NA,NA,NA,85.7710343945417,1.94704425775967
"172","2040022160","Species richness",167,170.599991712135,NA,NA,NA,82.9257375849152,2.01385004057388
"173","2040023010","Species richness",196,215.599957859703,NA,NA,NA,108.056966645397,1.81385806102813
"174","2040023020","Species richness",159,163.166658034022,NA,NA,NA,71.9887432488432,2.20867864647096
"175","2040024170","Species richness",160,191.999271866752,NA,NA,NA,115.965593136484,1.37971958468484
"176","2040024180","Species richness",31,41.1131161971831,NA,NA,NA,23.773547439979,1.30397030894382
"177","2040024230","Species richness",124,133.999713762308,NA,NA,NA,75.0256334940147,1.6527684502643
"178","2040026060","Species richness",132,139.198162796632,NA,NA,NA,109.230966892488,1.20844851744216
"179","2040026070","Species richness",16,17.4736842105263,NA,NA,NA,16.8709809568126,0.948374018141434
"180","2040026550","Species richness",111,125.078735444553,NA,NA,NA,92.0742611597724,1.20554863652272
"181","2040026560","Species richness",55,58.6704193639178,NA,NA,NA,55.9119656008393,0.98368925880106
"182","2040026920","Species richness",91,93.5712526389866,NA,NA,NA,61.1336007229602,1.48854310761746
"183","2040026930","Species richness",73,79.7484418282548,NA,NA,NA,52.684507274233,1.38560658107745
"184","2040027320","Species richness",61,66.7545923632611,NA,NA,NA,61.8645051120348,0.986025829989762
"185","2040027330","Species richness",128,132.083069176694,NA,NA,NA,95.0085312728396,1.34724743436374
"186","2040028220","Species richness",8,12.3636363636364,NA,NA,NA,11.3452756935684,0.70513932107751
"187","2040028310","Species richness",107,109.083089640114,NA,NA,NA,78.9758345438969,1.35484481573318
"188","2040028320","Species richness",82,88.2486855941115,NA,NA,NA,59.0356576860179,1.38899104734495
"189","2040028660","Species richness",101,108.141867964469,NA,NA,NA,72.6883940816754,1.38949279697269
"190","2040028670","Species richness",118,120.6665649864,NA,NA,NA,86.020295660235,1.37176929112263
"191","2040029940","Species richness",98,101.598662207358,NA,NA,NA,84.1119282889763,1.16511417576006
"192","2040029950","Species richness",92,102.553961196443,NA,NA,NA,84.7614210460748,1.08539945254092
"193","2040030060","Species richness",95,125.236773065151,NA,NA,NA,81.0318367629414,1.17237870687693
"194","2040030070","Species richness",25,27.2247191011236,NA,NA,NA,26.5181014933213,0.94275225571093
"195","2040030090","Species richness",14,20.1298076923077,NA,NA,NA,18.7841168068608,0.745310527183612
"196","2040030100","Species richness",119,139.247111681643,NA,NA,NA,94.1833947911094,1.2634923625755
"197","2040030110","Species richness",133,133.642844968455,NA,NA,NA,92.4786637147324,1.43816956968867
"198","2040031060","Species richness",106,107.499896985097,NA,NA,NA,77.8295536042681,1.36195050711671
"199","2040031070","Species richness",133,137.166579004579,NA,NA,NA,93.8157654719485,1.41767217195246
"200","2040031490","Species richness",129,139.666047339798,NA,NA,NA,94.2128379111142,1.36924014667413
"201","2040031500","Species richness",134,136.999988423425,NA,NA,NA,88.1656874970963,1.51986565073191
"202","2040033320","Species richness",128,131.124923420001,NA,NA,NA,85.0588222155997,1.50484096376925
"203","2040033330","Species richness",106,130.497523251112,NA,NA,NA,80.7477193424427,1.31273057447561
"204","2040033480","Species richness",136,138.249981324856,NA,NA,NA,90.6531992795435,1.5002228391369
"205","2040037990","Species richness",96,104.098482008996,NA,NA,NA,75.5097388265588,1.27135918481331
"206","2040039390","Species richness",78,91.9800853485064,NA,NA,NA,77.3934259917538,1.00783753917692
"207","2040039400","Species richness",43,50.9702602230483,NA,NA,NA,45.3796679730834,0.947560921457274
"208","2040039590","Species richness",35,43.0759643916914,NA,NA,NA,36.7704413855968,0.95185150575075
"209","2040041120","Species richness",89,94.9974630021142,NA,NA,NA,76.9757448683973,1.15620836345475
"210","2040041180","Species richness",3,4.5,NA,NA,NA,4.41686851672915,0.67921424163688
"211","2040041430","Species richness",3,5,NA,NA,NA,4.93765138754686,0.607576307952042
"212","2040041840","Species richness",20,34.7162162162162,NA,NA,NA,33.6666812399217,0.594059148790828
"213","2040045150","Species richness",71,71.399963963964,NA,NA,NA,49.4067049314528,1.43705191630379
"214","2040046500","Species richness",77,87.0740570377185,NA,NA,NA,70.6892545579832,1.08927446585026
"215","2040047500","Species richness",107,122.123197258641,NA,NA,NA,79.0865602777363,1.35294795505377
"216","2040048590","Species richness",21,27.0962441314554,NA,NA,NA,23.2202387239523,0.904383466925253
"217","2040048790","Species richness",144,144.999999504422,NA,NA,NA,87.4954674220757,1.64579953959613
"218","2040054200","Species richness",99,102.999930693927,NA,NA,NA,59.4141079539432,1.66627091459057
"219","2040056770","Species richness",60,74.9961089494163,NA,NA,NA,45.254525166844,1.32583426251392
"220","2040059370","Species richness",33,35.6622073578595,NA,NA,NA,28.9904970055715,1.13830404472396
"221","2040059450","Species richness",6,6,NA,NA,NA,5.9567519187662,1.00726034621277
"222","2040065840","Species richness",16,35.8191489361702,NA,NA,NA,33.647338935719,0.475520516810168
"223","2040065960","Species richness",17,19.6222222222222,NA,NA,NA,18.7839797659077,0.905026528555704
"224","2040066030","Species richness",22,71.6350364963504,NA,NA,NA,57.4819014694875,0.382729162355181
"225","2040066490","Species richness",4,4.83333333333333,NA,NA,NA,4.76059328547134,0.840231408174994
"226","2040067570","Species richness",2,2.5,NA,NA,NA,2.46882569377343,0.810101743936056
"227","2040067740","Species richness",23,36.7222222222222,NA,NA,NA,35.8458778360753,0.641635841788558
"228","2040067750","Species richness",7,7.15740740740741,NA,NA,NA,7.07773973593951,0.98901630480353
"229","2040068680","Species richness",32,48.7182795698925,NA,NA,NA,46.2118653492766,0.6924628503554
"230","2040068710","Species richness",9,14.952380952381,NA,NA,NA,14.4120263111204,0.624478460260341
"231","2040068720","Species richness",28,32.1387024608501,NA,NA,NA,29.554698855848,0.947395882345783
"232","2040069150","Species richness",47,49.2182917888563,NA,NA,NA,47.5641642069556,0.988138881101729
"233","2040069160","Species richness",25,37.4524714828897,NA,NA,NA,24.0226731667421,1.04068351704551
"234","2040070050","Species richness",54,91.4801587301587,NA,NA,NA,38.1201516512955,1.41657358800578
"235","2040070060","Species richness",26,30.4711538461538,NA,NA,NA,28.034362242777,0.927433261182849
"236","2040070510","Species richness",20,21.7602040816327,NA,NA,NA,21.2272718942356,0.942184191150398
"237","2040070520","Species richness",55,65.636277302944,NA,NA,NA,60.7661579079917,0.905109058948198
"238","2040071700","Species richness",19,21.2391304347826,NA,NA,NA,18.1361733259811,1.04763004071986
"239","2040072590","Species richness",16,17.4869565217391,NA,NA,NA,16.2815500143118,0.982707419498495
"240","2040072920","Species richness",15,19.0697674418605,NA,NA,NA,18.3215840924228,0.818706500722475
"241","2040072930","Species richness",22,27.968085106383,NA,NA,NA,24.0609053926528,0.91434630746347
"242","2040073580","Species richness",9,9,NA,NA,NA,8.64925432348245,1.04055212893501
"243","2040075170","Species richness",19,19,NA,NA,NA,16.7211440741766,1.13628588544625
"244","2040077470","Species richness",13,13.166095890411,NA,NA,NA,11.1353694609095,1.16745116052379
"245","2040077570","Species richness",2,2.5,NA,NA,NA,2.46882569377343,0.810101743936056
"246","2040077580","Species richness",23,23,NA,NA,NA,18.7453139564784,1.22697331468547
"247","2040078750","Species richness",7,7.48275862068965,NA,NA,NA,7.17101555842396,0.976151835534221
"248","2040078760","Species richness",11,14.9930555555556,NA,NA,NA,14.5739343273983,0.754772167411273
"249","2040079310","Species richness",4,7.6,NA,NA,NA,7.454519904276,0.53658720499298
"250","2040079320","Species richness",16,16,NA,NA,NA,14.8831253463669,1.07504301869672
"251","2040081250","Species richness",9,9.975,NA,NA,NA,9.54895114823687,0.942511890602956
"252","2040081260","Species richness",13,17.4666666666667,NA,NA,NA,13.2685267614886,0.979762126849834
"253","2040084120","Species richness",4,4.44444444444444,NA,NA,NA,4.34053009035588,0.921546427909233
"254","2040084130","Species richness",13,18.953125,NA,NA,NA,14.9732052384078,0.868217578869065
"255","2040085500","Species richness",17,21.1071428571429,NA,NA,NA,19.8913449143067,0.854643065777461
"256","2040085510","Species richness",9,20.9318181818182,NA,NA,NA,19.8199345930705,0.45408827954188
"257","2040085530","Species richness",2,2,NA,NA,NA,1.82405898025151,1.09645577344447
"258","2040085540","Species richness",8,9.95833333333333,NA,NA,NA,8.96075553408313,0.892781860811981
"259","2040085550","Species richness",8,16.1,NA,NA,NA,15.7986483731432,0.506372432061946
"260","2040085570","Species richness",15,17.03125,NA,NA,NA,16.6727454783944,0.899671863847374
"261","2040085590","Species richness",33,39.0133333333333,NA,NA,NA,37.117935514757,0.889058067005912
"262","2040085620","Species richness",14,16.21484375,NA,NA,NA,15.2120702330453,0.920321809295077
"263","2040085630","Species richness",13,13.491935483871,NA,NA,NA,13.1542138330831,0.988276469043306
"264","2040085640","Species richness",6,6.09090909090909,NA,NA,NA,6.04934334927366,0.991843189181915
"265","2040085660","Species richness",8,10.9142857142857,NA,NA,NA,10.1868852356657,0.785323463936835
"266","2040085670","Species richness",14,14.1237623762376,NA,NA,NA,13.8002817683064,1.01447204013995
"267","2040085690","Species richness",22,36.9089285714286,NA,NA,NA,34.9163708317804,0.630076937434056
"268","2040085700","Species richness",13,13.9736842105263,NA,NA,NA,13.5684182295809,0.958107259080379
"269","2040085710","Species richness",10,14.4451219512195,NA,NA,NA,11.8992202760496,0.840391199424023
"270","2040085720","Species richness",48,69.1076131687243,NA,NA,NA,38.5806122914254,1.24414821717767
"271","2040085730","Species richness",15,22.7647058823529,NA,NA,NA,22.0580882745507,0.680022666212017
"272","2040085740","Species richness",8,11.7878787878788,NA,NA,NA,11.5939053269135,0.690017709686592
"273","2040085760","Species richness",14,15.975,NA,NA,NA,14.3123703345829,0.978174800729681
"274","2040085820","Species richness",8,8,NA,NA,NA,7.92120289766168,1.00994761822874
"275","2040085830","Species richness",8,32.5,NA,NA,NA,31.9700367941483,0.250234306939062
"276","2040085930","Species richness",22,27.9439252336449,NA,NA,NA,25.7201580561493,0.855360217926037
"277","2040085960","Species richness",48,66.0204941860465,NA,NA,NA,56.5266190106301,0.8491574560823
"278","2040085990","Species richness",23,43.0266203703704,NA,NA,NA,37.5572615335092,0.612398217039308
"279","2040086170","Species richness",6,10.0909090909091,NA,NA,NA,9.75838315782567,0.614855955434414
"280","2040086460","Species richness",2,2.5,NA,NA,NA,2.46882569377343,0.810101743936056
"281","2040288980","Species richness",23,33.5411764705882,NA,NA,NA,31.1927120681867,0.737351723368022
"282","2040289120","Species richness",19,19.4976635514019,NA,NA,NA,18.1143797948094,1.04889045141056
"283","2040292580","Species richness",10,10.4807692307692,NA,NA,NA,10.3300934173408,0.968045456705484
"284","2040292690","Species richness",17,33.1290322580645,NA,NA,NA,32.0691058463611,0.530105207218585
"285","2040309560","Species richness",14,14.49375,NA,NA,NA,13.7800642748454,1.01596042810599
"286","2040309610","Species richness",43,67.8697916666667,NA,NA,NA,62.8870983881192,0.683765050418094
"287","2040315940","Species richness",62,67.7494955765948,NA,NA,NA,64.4939199890903,0.961330928721465
"288","2040315950","Species richness",5,13,NA,NA,NA,12.8129541626406,0.390230070016076
"289","2040363700","Species richness",14,15.7219387755102,NA,NA,NA,15.5007496503788,0.903182124463113
"290","2040400100","Species richness",32,37.4970760233918,NA,NA,NA,36.3909654543157,0.879339132680391
"291","2040416390","Species richness",41,57.848,NA,NA,NA,49.0734719407625,0.835481949381774
"292","2040416550","Species richness",10,39.8666666666667,NA,NA,NA,38.682043030057,0.258517886250985
"293","2040439100","Species richness",4,4,NA,NA,NA,3.95032286460934,1.01257546208076
"294","2040439160","Species richness",5,5.88888888888889,NA,NA,NA,5.78497453480032,0.864308039719415
"295","2040491970","Species richness",27,33.08125,NA,NA,NA,30.5327504659776,0.884296356795169
"296","2040491980","Species richness",10,50.5,NA,NA,NA,49.6375108610649,0.201460545191114
"297","2040501940","Species richness",3,3.41666666666667,NA,NA,NA,3.34392661880467,0.897148873760989
